Rxn,cytosol,plastid,plasma membrane,mitochondria,peroxisome,vacuole,thylakoid,inner mitochondrial matrix
5_FORMYL_THF_CYCLO_LIGASE_RXN,0,1,0,0,0,0,0,0
rxn_11884,1,0,0,0,0,0,0,0
RXN_13323,1,0,0,0,0,0,0,0
RXN_13322,1,0,0,0,0,0,0,0
2_4_1_83_RXN,1,0,1,0,0,0,0,0
RXN_13328,1,0,0,0,0,0,0,0
RXN_5482,1,0,0,0,0,0,0,0
HISTPRATPHYD_RXN,0,1,0,0,0,0,0,0
DCMP_DEAMINASE_RXN,1,1,1,1,1,0,0,0
ISOCITDEH_RXN,1,0,0,1,0,0,0,0
NITRATE_REDUCTASE_NADH_RXN,0,1,0,0,0,0,0,0
2_4_1_221_RXN,1,0,0,0,0,0,0,0
DMK_RXN,1,0,0,0,0,0,0,0
RIBULP3EPIM_RXN,1,1,0,0,0,0,0,0
GUANIDINOACETATE_N_METHYLTRANSFERASE_RXN,1,0,0,0,0,0,0,0
3_1_3_67_RXN,1,0,0,0,0,0,0,0
RXN_5647,1,0,0,0,0,0,0,0
